Financial Data,2022,2021,2020,2019,2018
Net interest income,48668 ,42494 ,44751 ,48128 ,47744 
Non-interest revenue,26670 ,29390 ,30750 ,26939 ,26292 
Revenues net of interest expense,75338 ,71884 ,75501 ,75067 ,74036 
Operating expenses,51292 ,48193 ,44374 ,42783 ,43023 
Profit,24046,23691,31127,32284,31013
Gross Profit,51592,48193,44374,42783,43023
Gross Profit Margin,68.08,67.04,58.77,56.99,58.11
Provisions for credit losses and for benefits and claims,5239 ,-3778,17495 ,8383 ,7568 
Income from continuing operations before income taxes,18807 ,27469 ,13632 ,23901 ,23445 
Income taxes,3642 ,5451 ,2525 ,4430 ,5357 
Income from continuing operations,15165 ,22018 ,11107 ,19471 ,18088 
Income (loss) from discontinued operations net of taxes,-231,7 ,-20,-4,-8
Net income before attribution of noncontrolling interests,14934 ,22025 ,11087 ,19467 ,18080 
Net income attributable to noncontrolling interests,89 ,73 ,40 ,66 ,35 
Citigroup’s net income,14845 ,21952 ,11047 ,19401 ,18045 
Income from continuing operations,7.16 ,10.21 ,4.75 ,8.08 ,6.69 
Net income,7.04 ,10.21 ,4.74 ,8.08 ,6.69 
Income from continuing operations,7.11 ,10.14 ,4.73 ,8.04 ,6.69 
Net income,7.00 ,10.14 ,4.72 ,8.04 ,6.68 
Dividends declared per common share,2.04 ,2.04 ,2.04 ,1.92 ,1.54 
Common dividends,4028 ,4196 ,4299 ,4403 ,3865 
Preferred dividends(1),1032 ,1040 ,1095 ,1109 ,1174 
Common share repurchases,3250 ,7600 ,2925 ,17875 ,14545 
Total assets,2416676 ,2291413 ,2260090 ,1951158 ,1917383 
Total deposits,1365954 ,1317230 ,1280671 ,1070590 ,1013170 
Long-term debt,271606 ,254374 ,271686 ,248760 ,231999 
Citigroup common stockholders’ equity,182194 ,182977 ,179962 ,175262 ,177760 
Total Citigroup stockholders’ equity,201189 ,201972 ,199442 ,193242 ,196220 
Average assets,2396023 ,2347709 ,2226454 ,1978805 ,1920242 
Direct staff (in thousands),240 ,223 ,210 ,200 ,204 
Return on average assets,0.62 ,0.94 ,0.50 ,0.98 ,0.94 
Return on average common stockholders’ equity(2),7.7 ,11.5 ,5.7 ,10.3 ,9.4 
Return on average total stockholders’ equity(2),7.5 ,10.9 ,5.7 ,9.9 ,9.1 
Return on tangible common equity (RoTCE)(3),8.9 ,13.4 ,6.6 ,12.1 ,11.0 
Efficiency ratio (total operating expenses/total revenues net),68.1 ,67.0 ,58.8 ,57.0 ,58.1 
CET1 Capital(4),13.03 ,12.25 ,11.51 ,11.79 ,11.86 
Tier 1 Capital(4),14.80 ,13.91 ,13.06 ,13.33 ,13.43 
Total Capital(4),15.46 ,16.04 ,15.33 ,15.87 ,16.14 
Supplementary Leverage ratio,5.82 ,5.73 ,6.99 ,6.20 ,6.40 
Citigroup common stockholders’ equity to assets,7.54 ,7.99 ,7.96 ,8.98 ,9.27 
Total Citigroup stockholders’ equity to assets,8.33 ,8.81 ,8.82 ,9.90 ,10.23 
Dividend payout ratio(5),29 ,20 ,43 ,24 ,23 
Total payout ratio(6),53 ,56 ,73 ,122 ,109 
Book value per common share,94.06 ,92.21 ,86.43 ,82.90 ,75.05 
Tangible book value (TBV) per share(3),81.65 ,79.16 ,73.67 ,70.39 ,63.79 
